numero,acao,veredito,data,labels,titulo,evidencia
801,manter,válido,2026-08-21,"bug,agent-found,priority:p2,camada:core",[partners/domain] createPixKey nao valida o formato da chave — aceita qualquer string nao-vazia,payment-target.ts:65-67 — createPixKey só checa keyType e string não-vazia.
798,feito,fechada 02/09,2026-08-21,"bug,agent-found,needs-triage",[financial] buildVanStorage descarta o erro de configuracao e cai para in-memory mudo,"buildVanStorage faz fail-fast (composition.ts:763-769, PR #914). Não há mais ramo in-memory."
792,feito,fechada 02/09,2026-08-21,"bug,priority:p1,camada:core","[financial] documento nunca sai de Approved — a remessa prende o titulo, mas Transmitted do documento e casca sem transicao","Título vai a Transmitted na mesma tx da reserva (remittance-repository.ts:53,68 — ADR-0065, PRs #848/#850)."
791,manter,válido,2026-08-21,"documentation,debito-tecnico,priority:p3","[docs] ADR-0020 recomenda onConflictDoUpdate, que nao existe no dialeto MySQL do Drizzle","ADR-0020:93 ainda diz ""continuamos preferindo onConflictDoUpdate""; o contracts repo o reproduz à mão em transação."
790,manter,válido,2026-08-21,"debito-tecnico,priority:p2,camada:core",[financial] fin_reconciliation_items referencia payable_id sem FK — mesmo desenho que produziu o vinculo orfao da remessa,"mysql.ts:792-808 — payable_id sem foreignKey; o comentário declara ""sem FK cross-aggregate""."
787,reescrever,parcial,2026-08-20,"agent-found,gap-contrato,priority:p1,camada:core","[financial] remessa transmitida que nunca confirma fica Queued para sempre, e ninguem varre",O descarte cobre Queued SEM arquivo. Queued COM arquivo cujo status/ nunca chega segue sem varredura.
774,manter,válido,2026-08-19,"agent-found,debito-tecnico,priority:p2,type:task,camada:core",[partners] descer filtro/sort/paginacao das 5 listas para o SQL e matar o N+1 do export de historico,list-suppliers.ts filtra/ordena em memória; o export faz um listCollaboratorHistory por colaborador.
773,manter,válido,2026-08-19,"agent-found,debito-tecnico,priority:p2,type:task,camada:bff",[core] duas composicoes cross-modulo na borda sem Deprecation/Sunset — divida transitoria sem data de validade,"Deprecation/Sunset só em contracts, e como prosa sem data; as 2 composições do financial não emitem nada."
772,manter,válido,2026-08-19,"agent-found,gap-contrato,priority:p3,type:task,camada:bff","[reports] envelope de tela legado no contrato do core — Receivables sempre vazio, PascalCase e nome de coluna legada","dto.ts:61 — Receivables: [] fixo, chaves PascalCase e coluna legada Category_id."
771,manter,válido,2026-08-19,"agent-found,debito-tecnico,priority:p2,type:task,camada:bff","[core] parar de montar DTO de widget (%, distribuicao, top-N, serie) nas 6 rotas de dashboard/chart","6 rotas montam DTO de widget no core (financial plugin.ts:2173,2191,2209; reports:313,384,429)."
770,manter,válido,2026-08-19,"agent-found,debito-tecnico,priority:p3,type:task,camada:bff",[core] retirar a renderizacao de CSV do core — 10 rotas de export + formatacao R$ no budget-plans,"21 ocorrências de text/csv na borda + formatação R$ em budget-plan-csv.ts:11,42."
769,epico,com carga,2026-08-19,"agent-found,debito-tecnico,priority:p2,type:epic",[EPICO] Fronteira ADR-0049 — a apresentacao que ainda vive no core-api (inventario medido 19/08),"As 4 frentes seguem no core (#770 CSV, #771 widgets, #772 envelope legado, #773 composições)."
768,manter,válido,2026-08-19,"agent-found,needs-triage,gap-contrato",[docs] documentar no handoff do front o autocadastro de colaborador e a ativacao de usuario por token,Rotas /collaborators/autocadastro existem e não constam do handoff §2.6.1; ativação por token também não.
756,reescrever,parcial,2026-08-19,"priority:p1,type:epic,camada:core","[EPICO] VAN Bradesco — piloto por credito em conta e TED, validado no x99 (roadmap fechado 19/08, revisto 24/08)","Piloto emite 01 e 41 medidos no validador; a entrada em produção segue barrada por #879, #881 e #942."
737,manter,válido,2026-08-18,-,"[financial] /payable-titles sem busca textual — o q da #167 ficou no /documents, que o grid abandonou no #201",listPayablesQuerySchema não tem q/search — só status/documentType/supplierRef/datas/paginação.
690,feito,fechada 02/09,2026-08-10,-,[financial] Retorno da VAN: a caixa e do convenio — lote nao pode falhar por referencia desconhecida,return-file.ts:13-25 nunca falha o lote — baldes unreadable/skipped (PR #779).
681,feito,fechada 02/09,2026-08-10,-,[financial] Segmentos de cobranca (P/Q) em contexto de pagamento — errata do ADR-0002 e prevencao,Errata registrada na spec 016 §13 + unknown-segment no inspetor (remittance-inspector.ts:269).
678,manter,válido,2026-08-10,-,"Nenhum workflow escaneia a imagem do core-api (o web-app tem gate Trivy bloqueante; o back, nenhum)",Nenhum scanner de imagem em .github/workflows/ (grep trivy/grype/snyk = 0).
659,manter,incerto,2026-08-07,"bug,agent-found,needs-triage",[financial] reader: suite local de PDFs reais falha de forma intermitente (1 em 6 rodadas),PDFs em pasta gitignored e a suíte se auto-pula; o readdirSync:24 segue sem ordenação.
645,manter,válido,2026-08-06,"agent-found,needs-triage,debito-tecnico,deferred,priority:p3",[infra] integracao roda as 13 suites em PR doc-only — filtrar por path sem pendurar o required check,integration.yml:17-19 sem paths/paths-ignore; as 13 suítes rodam em PR doc-only.
643,manter,válido,2026-08-06,"agent-found,needs-triage,debito-tecnico,deferred,priority:p3",[api-collections] inscrever budget-plans no runner — 14 .bru nunca sao executados,bruno-all.sh:100 — MAIN_FOLDERS não inclui budget-plans; os 14 .bru nunca executam.
634,reescrever,parcial,2026-08-05,priority:p2,[auth] REVERTER AUTH_RBAC_MODE=bypass — reformular e estruturar permissoes do cliente,"resolveRbacMode voltou a fail-secure (#870), mas compose.yaml:369 ainda tem AUTH_RBAC_MODE: bypass."
626,manter,válido,2026-08-04,-,[budget-plans] cost-structure sem nivel de PROGRAMA — taxonomia Plano > Programa > Centro nao cascateia,Árvore é Plano>Centro>Categoria>Subcategoria; nenhum nível PROGRAMA no domínio.
625,manter,válido,2026-08-04,-,Relatorio Geral (#442): /reports/generalReport nao resolve Centro/Categoria/Subcategoria (ref->nome) — devolve null com ref VALIDO,general-report-projection.ts:226-228 resolve por LEFT JOIN em tabelas que nada popula (0 INSERTs).
607,manter,válido,2026-07-29,"bug,agent-found,debito-tecnico,priority:p2",[auth] storage de foto de perfil cai para memoria em SILENCIO — foto some no restart (irmao do #516),auth/composition.ts:241-264 cai em makeInMemoryProfilePhotoStorage() em silêncio.
603,manter,válido,2026-07-29,"seguranca,priority:p1,type:epic,camada:core",[auth] Migracao da autenticacao para AWS Cognito — briefing de implementacao (spec-kit),ADR-0055 Accepted mas zero código Cognito; a emissão segue ES256 local.
600,manter,válido,2026-07-28,-,reports/payable-view: rascunho (Draft) nao deve ser a pagar + defasagem Approved->Open na projecao,payable-view/types.ts:41-43 mapeia Draft → Open na projeção.
599,manter,válido,2026-07-28,-,reports(cashflow): expor Centro de Custo como EIXO no /reports/cashflow (hoje e so filtro — front faz fan-out N+1),"cashflow-read.ts:26 declara ""CC NÃO é eixo""; CashflowRow não tem dimensão de centro."
592,manter,válido,2026-07-28,-,"[reports] Analise de Pagamentos — filtrar status pelos 6 granulares (join fin_documents, paridade com #588)",payables-analysis-projection.ts:80 filtra o status da view sem JOIN em fin_documents.
569,feito,fechada 02/09,2026-07-24,"enhancement,agent-found,needs-triage",[infra] MinIO/S3 do comprovante-fonte: bytes precisam durar (senao in-memory some no restart),"buildDocumentStorage é fail-fast sem fallback (composition.ts:734-747, PR #916)."
556,manter,válido,2026-07-24,-,feat(financial): retornar campos de documento do lancamento manual no detalhe da conciliacao (leitura do #370),transactionReconciliationResponseSchema não devolve documentNumber/documentType/issueDate/valor.
525,feito,fechada 02/09,2026-07-22,"agent-found,debito-tecnico,seguranca,priority:p3",[ci] endereco de tailnet do QA hardcoded em 3 pontos do deploy-qa.yml — mover para secret ou MagicDNS,"deploy-qa.yml não existe mais (virou qa-image.yml, PRs #748/#780); job Tailscale SSH removido."
517,critico,fix órfão,2026-07-22,"bug,agent-found,needs-triage",[shared] scripts de e2e destroem o banco e os secrets de dev — mesma classe da #500,Fix e1fca4e6 preservado só na tag archive/fix/e2e-scripts-non-destructive-517. Os 4 scripts seguem com docker compose down -v + rm secrets/mysql_*.txt.
514,manter,válido,2026-07-22,"agent-found,needs-triage,seguranca",[auth] emitir e validar o claim aud no access token JWT,token-issuer.es256.ts:29-36 não chama setAudience; jwtVerify valida só issuer/algorithms.
507,manter,válido,2026-07-21,"agent-found,needs-triage,gap-contrato",[financial] tarifa bancaria (manual sem plano) nao aparece em nenhum relatorio,realized-provisioned-projection.ts:245 exclui a tarifa sem plano com isNotNull(budgetPlanRef).
505,feito,fechada 02/09,2026-07-21,"agent-found,needs-triage,gap-contrato",[financial] batch de lancamento manual descarta budgetPlanRef/subcategoryRef em silencio (contract-lie pos-S2),"confirm-batch.ts:20-22,59-70 repassa budgetPlanRef/subcategoryRef ao recordManualEntry."
502,feito,fechada 02/09,2026-07-21,"agent-found,needs-triage,debito-tecnico",[financial/front] Epico: carimbar o titulo com Plano Orcamentario + Subcategoria na criacao — destrava REP-5 e #446,"S1-S6 mergeados; colunas budget_plan_ref/subcategory_ref em fin_documents, fin_payable_view e fin_manual_entries."
497,reescrever,parcial,2026-07-20,"agent-found,needs-triage,seguranca","[reports] assimetria de permissao: agregado sob read-sensitive, por-pessoa nominal sob read",Assimetria eliminada por nivelamento (plugin.ts:223); a segregação real ficou para o redesenho de RBAC.
496,manter,válido,2026-07-20,"bug,agent-found,needs-triage",[auth/rbac] sync-permissions so concede ao papel admin-sistema — permissao nova nasce inacessivel,"sync-permissions.ts:29,66-73 só reconcilia admin-sistema."
487,critico,fix órfão,2026-07-17,"bug,agent-found,needs-triage",[etl] plano-filho vira raiz orfa em silencio quando o pai e quarentenado (ETL de Orcamento),Fix 23b38277 só na tag archive/fix/etl-budget-plans-orphan-parent-487. main.ts:323 ainda faz parentId null em silêncio.
486,manter,válido,2026-07-17,"agent-found,needs-triage,debito-tecnico",[auth] expor resolver read-by-legacy-id na public-api de ETL,"AuthEtlPort expõe só provisionLegacyUser+close; sem findByLegacyId, que partners e financial têm."
482,manter,válido,2026-07-17,"agent-found,needs-triage,seguranca",[partners] exigir permissao dedicada para dado sensivel em GET /collaborators,GET /collaborators exige só collaborator:read; o read-sensitive existe no catálogo e não guarda a rota.
481,epico,casca,2026-07-17,"priority:p1,type:epic",[SUPER] Pos Go-Live — guarda-chuva unico do backlog pos-entrega,"Guarda-chuva puro — zero rastro em src/, handbook/ ou git log."
480,epico,casca,2026-07-17,type:epic,"[SUPER P3] Pos Go-Live — divida tecnica, melhoria e escopo futuro","Idem #481 — só triagem de backlog, sem código próprio."
479,epico,casca,2026-07-17,type:epic,"[SUPER P2] Pos Go-Live — o dado ja existe, falta expor",Sem código próprio; os filhos vivos são #324/#342/#271/#406.
478,epico,casca,2026-07-17,type:epic,"[SUPER P1] Pos Go-Live — quebrado em producao, bloqueia paridade ou e caminho critico","Sem artefato; os P1 reais (#438, #112) têm veredito próprio."
470,manter,válido,2026-07-16,priority:p2,[budget-plans] No de custo inativo ainda aceita lancamento e aparece no CSV — desativar so esconde da arvore,add-budget-result.ts:60 só lê launchType — nenhuma checagem de active no lançamento nem no CSV.
469,manter,válido,2026-07-16,priority:p2,[budget-plans] Arvore de custos so expoe o active efetivo — o switch do front nao distingue heranca de intencao,schemas.ts:272-274 declara que a borda não expõe a intenção individual.
468,manter,válido,2026-07-16,priority:p2,[budget-plans] Falta como ZERAR/EXCLUIR um lancamento — a lixeira do Calculando Gastos nao tem rota,"Só POST por modelo + GET by-budget; DELETE existe para plano e orçamento, nunca para lançamento."
466,feito,fechada 02/09,2026-07-15,priority:p3,dev-seed: admin de dev congelado em 31 de 44 permissoes — seed one-shot nunca reconcilia,dev-seed.ts:17 usa PermissionCatalog.all.map — permissão nova entra no admin automaticamente.
464,manter,válido,2026-07-15,priority:p2,[budget-plans] Persistir os INSUMOS do calculo (coluna data) — sem isso o formulario nunca reabre preenchido,bgp_budget_results guarda só model/month/valueCents; nenhuma coluna de insumo.
438,manter,válido,2026-07-15,priority:p1,[partners] Colaborador: nao ha como EDITAR campos pessoais (data de nascimento etc.) pos-cadastro,collaborator.ts:189 devolve collaborator-already-complete; o PUT omite todos os campos pessoais.
426,manter,válido,2026-07-13,priority:p2,[contracts] Contrato com vigencia encerrada permanece Pendente — deveria transicionar para Finalizado,findExpirable filtra status Active e contract.ts:247 só aceita ActiveContract — Pending vencido nunca transiciona.
415,manter,válido,2026-07-11,priority:p2,[budget-plans] (conveniencia) GET consolidado: estrutura de custo + valores por rede numa resposta,get-consolidated-result.ts:19-30 devolve só resumo; árvore e valores ficam em rotas separadas.
